time,cases,7_avg
Mar 21 2021,45408,55228
Mar 22 2021,48527,55907
Mar 23 2021,58012,56765
Mar 24 2021,68449,57725
Mar 25 2021,65985,58167
Mar 26 2021,75251,60005
Mar 27 2021,63446,60725
Mar 28 2021,53465,61876
Mar 29 2021,58447,63293
Mar 30 2021,61788,63833
Mar 31 2021,70982,64194
Apr  1 2021,74316,65385
Apr  2 2021,71072,64788
Apr  3 2021,63944,64859
Apr  4 2021,45719,63752
Apr  5 2021,56981,63543
Apr  6 2021,64238,63893
Apr  7 2021,76101,64624
Apr  8 2021,76494,64935
Apr  9 2021,77503,65854
Apr 10 2021,68834,66552
Apr 11 2021,54402,67793
Apr 12 2021,62113,68526
Apr 13 2021,71944,69627
Apr 14 2021,71979,69038
Apr 15 2021,73310,68583
Apr 16 2021,72265,67835
Apr 17 2021,78480,69213
Apr 18 2021,50109,68600
Apr 19 2021,36052,64877
Apr 20 2021,57901,62870
Apr 21 2021,64372,61784
Apr 22 2021,62934,60301
Apr 23 2021,63146,58999
Apr 24 2021,52384,55271
Apr 25 2021,41508,54042
Apr 26 2021,39932,54596
Apr 27 2021,50563,53548
Apr 28 2021,55363,52261
Apr 29 2021,56395,51327
Apr 30 2021,55735,50268
May  1 2021,48708,49743
May  2 2021,36913,49087
May  3 2021,33300,48139
May  4 2021,42781,47027
May  5 2021,45223,45579
May  6 2021,43323,43711
May  7 2021,44980,42175
May  8 2021,37144,40523
May  9 2021,27545,39185
May 10 2021,24670,37952
May 11 2021,33213,36585
May 12 2021,36165,35291
May 13 2021,40723,34920
May 14 2021,35556,33573
May 15 2021,29807,32525
May 16 2021,21552,31669
May 17 2021,19602,30945
May 18 2021,27925,30190
May 19 2021,27857,29003
May 20 2021,28119,27202
May 21 2021,28189,26150
May 22 2021,22317,25080
May 23 2021,16015,24289
May 24 2021,15388,23687
May 25 2021,24409,23184
May 26 2021,23731,22595
May 27 2021,22260,21758
May 28 2021,24886,21286
May 29 2021,15737,20346
May 30 2021,12399,19830
May 31 2021,9353,18967
Jun  1 2021,9138,16786
Jun  2 2021,16339,15730
Jun  3 2021,18451,15186
Jun  4 2021,18740,14308
Jun  5 2021,14742,14166
Jun  6 2021,11122,13983
Jun  7 2021,10026,14079
Jun  8 2021,14421,14834
Jun  9 2021,19322,15260
Jun 10 2021,16044,14916
Jun 11 2021,14170,14263
Jun 12 2021,12406,13930
Jun 13 2021,8786,13596
Jun 14 2021,8364,13359
Jun 15 2021,12856,13135
Jun 16 2021,13228,12264
Jun 17 2021,13540,11907
Jun 18 2021,11993,11596
Jun 19 2021,12405,11596
Jun 20 2021,9093,11639
Jun 21 2021,8737,11693
Jun 22 2021,13498,11784
Jun 23 2021,13907,11881
Jun 24 2021,15630,12180
Jun 25 2021,15105,12625
Jun 26 2021,13272,12748
Jun 27 2021,10653,12971
Jun 28 2021,10635,13242
Jun 29 2021,15735,13562
Jun 30 2021,11706,13248
Jul  1 2021,18729,13690
Jul  2 2021,16962,13956
Jul  3 2021,13257,13953
Jul  4 2021,10505,13932
Jul  5 2021,9321,13745
Jul  6 2021,20143,14374
Jul  7 2021,22806,15960
Jul  8 2021,28104,17299
Jul  9 2021,27772,18844
Jul 10 2021,20943,19942
Jul 11 2021,16727,20830
Jul 12 2021,29274,23681
Jul 13 2021,35189,25830
Jul 14 2021,38486,28070
Jul 15 2021,40709,29871
Jul 16 2021,42463,31970
Jul 17 2021,32321,33595
