DATE,IPN31152N
2001-06-01,148.8539
2001-07-01,141.8865
2001-08-01,135.1634
2001-09-01,128.9898
2001-10-01,115.4463
2001-11-01,105.3973
2001-12-01,104.9095
2002-01-01,121.3205
2002-02-01,144.1151
2002-03-01,155.6815
2002-04-01,169.7405
2002-05-01,165.7221
2002-06-01,189.4483
2002-07-01,173.7945
2002-08-01,163.7687
2002-09-01,151.1098
2002-10-01,137.2098
2002-11-01,114.9383
2002-12-01,105.9714
2003-01-01,125.6698
2003-02-01,142.8684
2003-03-01,145.1463
2003-04-01,151.9098
2003-05-01,147.8298
2003-06-01,163.3882
2003-07-01,146.5845
2003-08-01,141.5923
2003-09-01,127.1396
2003-10-01,116.2075
2003-11-01,107.0186
2003-12-01,93.8185
2004-01-01,104.4374
2004-02-01,126.4097
2004-03-01,140.8747
2004-04-01,149.0930
2004-05-01,150.9114
2004-06-01,169.5485
2004-07-01,157.7419
2004-08-01,153.9940
2004-09-01,144.8704
2004-10-01,139.9578
2004-11-01,120.8960
2004-12-01,111.6330
2005-01-01,130.6865
2005-02-01,148.6734
2005-03-01,159.7905
2005-04-01,172.3917
2005-05-01,170.5098
2005-06-01,196.8199
2005-07-01,190.8778
2005-08-01,179.8762
2005-09-01,154.2446
2005-10-01,144.6849
2005-11-01,122.6144
2005-12-01,107.2969
2006-01-01,131.2496
2006-02-01,144.7603
2006-03-01,156.8640
2006-04-01,168.2542
2006-05-01,160.4353
2006-06-01,183.1928
2006-07-01,176.5816
2006-08-01,164.7909
2006-09-01,146.8693
2006-10-01,128.3122
2006-11-01,111.4253
2006-12-01,102.6229
2007-01-01,126.6562
2007-02-01,139.5327
2007-03-01,153.5676
2007-04-01,170.5189
2007-05-01,167.8411
2007-06-01,180.6642
2007-07-01,167.7541
2007-08-01,149.7060
2007-09-01,142.4300
2007-10-01,126.7331
2007-11-01,104.3608
2007-12-01,99.8186
2008-01-01,108.3469
2008-02-01,125.2242
2008-03-01,140.2561
2008-04-01,142.2791
2008-05-01,144.1416
2008-06-01,169.9500
2008-07-01,145.4860
2008-08-01,140.2375
2008-09-01,124.4155
2008-10-01,109.3029
2008-11-01,102.7693
2008-12-01,84.0579
2009-01-01,94.4863
2009-02-01,115.5756
2009-03-01,130.0359
2009-04-01,133.4888
2009-05-01,138.4205
2009-06-01,150.8221
2009-07-01,134.9005
2009-08-01,132.9428
2009-09-01,119.8168
2009-10-01,107.1088
2009-11-01,88.1307
2009-12-01,78.0400
2010-01-01,91.5797
2010-02-01,110.8522
2010-03-01,127.5045
2010-04-01,133.0736
2010-05-01,134.9918
2010-06-01,144.4171
2010-07-01,129.2733
2010-08-01,125.9620
2010-09-01,116.4430
2010-10-01,98.0665
2010-11-01,81.3472
2010-12-01,73.0128
2011-01-01,92.9060
2011-02-01,106.5027
2011-03-01,114.6101
2011-04-01,116.9917
2011-05-01,116.5026
2011-06-01,121.1541
2011-07-01,116.6278
2011-08-01,115.3661
2011-09-01,102.0780
2011-10-01,91.3901
2011-11-01,76.7526
2011-12-01,71.6862
2012-01-01,85.6799
2012-02-01,99.8963
2012-03-01,112.8685
2012-04-01,115.2005
2012-05-01,114.9518
2012-06-01,124.7551
2012-07-01,112.6917
2012-08-01,107.9823
2012-09-01,96.6636
2012-10-01,89.1467
2012-11-01,75.0476
2012-12-01,68.9532
2013-01-01,78.3164
2013-02-01,98.2773
2013-03-01,108.1474
2013-04-01,108.1731
2013-05-01,111.1878
2013-06-01,129.0209
2013-07-01,112.6732
2013-08-01,106.3621
2013-09-01,98.4978
2013-10-01,91.3043
2013-11-01,80.3577
2013-12-01,68.0621
2014-01-01,86.7437
2014-02-01,102.1512
2014-03-01,114.2524
2014-04-01,119.8503
2014-05-01,117.1011
2014-06-01,131.5347
2014-07-01,117.6691
2014-08-01,111.7367
2014-09-01,100.8450
2014-10-01,91.4105
2014-11-01,86.6604
2014-12-01,75.4099
2015-01-01,85.5780
2015-02-01,100.5311
2015-03-01,109.5401
2015-04-01,108.3398
2015-05-01,106.0841
2015-06-01,116.2584
2015-07-01,108.6179
2015-08-01,112.6279
2015-09-01,100.9015
2015-10-01,94.6217
2015-11-01,86.6478
2015-12-01,77.8002
2016-01-01,93.9254
2016-02-01,103.2802
2016-03-01,117.6911
2016-04-01,125.7629
2016-05-01,122.8934
2016-06-01,134.1461
2016-07-01,125.5020
2016-08-01,121.4044
2016-09-01,107.5296
2016-10-01,100.3291
2016-11-01,85.2567
2016-12-01,79.4748
2017-01-01,88.3995
2017-02-01,106.3118
2017-03-01,113.5985
2017-04-01,116.0346
2017-05-01,109.8382
2017-06-01,115.8969
2017-07-01,109.7930
2017-08-01,107.6946
2017-09-01,93.1538
2017-10-01,88.1042
2017-11-01,76.1651
2017-12-01,75.0098
2018-01-01,86.3635
2018-02-01,104.8826
2018-03-01,110.2793
2018-04-01,119.0028
2018-05-01,113.1868
2018-06-01,130.8140
2018-07-01,122.0043
2018-08-01,117.4884
2018-09-01,107.5606
2018-10-01,100.6902
2018-11-01,84.7957
2018-12-01,76.4424
2019-01-01,87.8427
2019-02-01,104.3388
2019-03-01,117.0738
2019-04-01,113.9729
2019-05-01,115.5232
2019-06-01,120.7968
2019-07-01,106.8955
2019-08-01,107.7196
2019-09-01,100.6381
2019-10-01,91.9778
2019-11-01,79.1450
2019-12-01,75.2130
2020-01-01,84.1969
2020-02-01,99.7767
2020-03-01,108.0301
2020-04-01,102.7954
2020-05-01,112.5288
2020-06-01,122.0301
2020-07-01,116.9799
2020-08-01,120.7120
2020-09-01,111.8634
2020-10-01,100.7911
2020-11-01,93.1239
2020-12-01,83.7717
2021-01-01,92.7025
2021-02-01,101.2105
2021-03-01,111.4117
2021-04-01,110.6197
2021-05-01,109.4956
2021-06-01,113.7700
2021-07-01,108.8079
2021-08-01,106.8920
2021-09-01,95.8193
2021-10-01,93.0939
2021-11-01,82.6352
2021-12-01,78.1460
